"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"user_id","work_id","mr_share"
"46","1254","25"
"399","1255","50"
"271","1256","33.340000000000003"
"401","1257","100"
"351","1258","25"
"145","1259","50"
"22","1260","33.329999999999998"
"412","1261","100"
"177","1262","10"
"365","1263","17.5"
"347","1264","33.329999999999998"
"349","1265","25"
"48","1266","50"
"223","1267","50"
"223","1268","50"
"108","1269","37.5"
"326","1270","30"
"266","1271","50"
"97","1272","16.66"
"182","1273","50"
"256","1274","24.5"
"261","1275","50"
"113","1276","50"
"85","1277","100"
"399","1278","50"
"416","1279","20"
"46","1280","12.5"
"106","1280","50"
"280","1282","25"
"74","1283","50"
"113","1284","50"
"145","1285","50"
"280","1286","25"
"335","1287","60"
"100","1288","16.66"
"163","1289","12.5"
"186","1290","100"
"26","1291","16.66"
"","1292",""
"231","1293","50"
"347","1294","33.329999999999998"
"192","1295","12.5"
"145","1296","50"
"401","1297","50"
"6","1298","100"
"155","1299","6.25"
"102","1300","50"
"93","1301","50"
"162","1302","100"
"206","1303","5"
"92","1304","100"
"341","1305","10"
"124","1306","100"
"186","","25"
"","",""
"","",""
"186","1310","50"
"383","1311","25"
"145","1312","50"
"7","1313","100"
"163","1314","50"
"152","1315","25"
"374","1316","16.670000000000002"
"271","1317","50"
"271","1318","50"
"119","1319","50"
"19","1320","20"
"145","1321","50"
"344","1322","50"
"271","1323","12.5"
"401","1324","50"
"399","1325","33.329999999999998"
"119","1326","25"
"19","1327",""
"186","1328","80"
"85","1329","50"
"390","1330","50"
"108","1331","30"
"266","1332","50"
"113","1333","50"
"113","1334","50"
"256","1335","25"
"19","1336","100"
"399","1337","50"
"412","1338","100"
"114","1339","100"
"36","1340",""
"280","1341","25"
"68","1342","50"
"75","1343","50"
"152","1344","20"
"102","1345","50"
"145","1346","50"
"207","1347","50"
"207","1348","50"
"36","1349","20"
"223","1350","100"
"152","1351","50"
"92","1352","100"
"92","1353","100"
"7","1354","100"
"331","1355","33.329999999999998"
"255","1356","25"
"168","1357","16.66"
"119","1358","50"
"201","1359","16.66"
"301","1360","100"
"301","1361","100"
"142","1362","37.5"
"","1363",""
"223","1364","50"
"97","1365","100"
"256","1365","50"
"119","1367","50"
"283","1368","100"
"416","1369","50"
"186","1370","50"
"401","1371","50"
"124","1372","100"
"262","1373",""
"156","1373","66"
"124","1375","100"
"271","1376","50"
"181","1377","100"
"390","1378","50"
"356","1379","50"
"345","1380","12.5"
"326","1381","75"
"182","1382","50"
"374","1383","20"
"186","1384","50"
"124","1385","50"
"271","1386","25"
"217","1387","50"
"92","1388","100"
"371","1389","50"
"242","1390","30"
"343","1391","25"
"186","1392","33.340000000000003"
"324","1393","50"
"223","1394","100"
"262","1395",""
"125","1396","100"
"276","1397","50"
"145","1398","50"
"63","1399","50"
"157","1400","10"
"168","1401","16.66"
"276","1402","100"
"36","1403","33.329999999999998"
"393","1404","3.3999999999999999"
"365","1405","16.670000000000002"
"392","1406","4"
"392","1407","4"
"336","1408","50"
"22","1409","5"
"113","1410","50"
"231","1411","50"
"68","1412","50"
"345","1413","33.329999999999998"
"174","1414","13.33"
"223","1415","50"
"354","1416","12.5"
"412","1417","100"
"90","1418","12.5"
"6","1419","100"
"198","1420","16.66"
"22","1421","25"
"55","1422","50"
"7","1423","33.329999999999998"
"205","1424","25"
"174","1425","16"
"117","1426","50"
"182","1427","33.329999999999998"
"322","1428","50"
"276","1429","100"
"22","1430","20"
"366","1431","50"
"119","1432","50"
"416","1433","50"
"85","1434","100"
"416","1435","42.5"
"152","1436","25"
"345","1438","25"
"354","1438","20"
"399","1440","50"
"36","1441","50"
"335","1442","20"
"97","1443","13.33"
"152","1444","33.329999999999998"
"108","1445","25"
"370","1446","50"
"46","1447","15"
"70","1448","50"
"145","1449","50"
"108","1450","50"
"223","1451","50"
"322","1452","50"
"371","1453","50"
"174","1454","16.66"
"242","1455","50"
"401","1456","100"
"192","1457","50"
"9","1458","11"
"141","1459","100"
"141","1460","50"
"365","1461","50"
"301","1462","100"
"163","1463","25"
"255","1464","15"
"393","1465","33.32"
"138","1466","25"
"19","1467","20"
"54","1468","10"
"124","1470","100"
"374","1471","16.670000000000002"
"181","1472","100"
"162","1473","33.329999999999998"
"145","1474","25"
"183","1475","50"
"271","1476","33.329999999999998"
"137","1477","10"
"147","1478","10"
"163","1479","50"
"183","1480","25"
"28","1481","16.66"
"145","1482","50"
"119","1483","50"
"269","1484","25"
"133","1485","100"
"37","1486","100"
"22","1487","50"
"145","1488","50"
"371","1489","50"
"231","1490","50"
"186","1491","50"
"22","1492","20"
"85","1493","100"
"181","1494","100"
"129","1495","100"
"113","1496","50"
"113","1497","100"
"345","1499","25"
"7","1500","100"
"145","1501","16.66"
"174","1502","10"
"393","1503","10"
"345","1504","25"
"399","1505","100"
"124","1505","100"
"271","1507","16"
"276","1508","50"
"","1509",""
"138","1510","25"
"125","1511",""
"125","1512","25"
"197","1513","50"
"90","1514","10"
"22","1515","50"
"371","1516","16.66"
"374","1517","12.5"
"217","1518","50"
"223","1519","25"
"142","1520","16.66"
"319","1521","25"
"393","1522","12.5"
"112","1523","3.75"
"68","1524","25"
"399","1525","50"
"145","1526","50"
"271","1528","50"
"119","1529","100"
"22","1530","15"
"401","1531","100"
"411","1532","50"
"22","1533","50"
"401","1534","50"
"399","1535","100"
"23","1536","60"
"97","1537","50"
"152","1538","5.5800000000000001"
"383","1539","15"
"374","1540","75"
"163","1541","35"
"75","1542","50"
"271","1543","50"
"271","1544","33.329999999999998"
"3","1545","50"
"26","1546","16.66"
"","1546","25"
"36","1548","20"
"223","1549","50"
"133","1550","100"
"371","1551","10"
"407","1552","100"
"297","1553","16.670000000000002"
"186","1554","50"
